time,count
0.0,0
0.42952513694763184,0
2.086639881134033,1000
4.777266025543213,2000
4.77817702293396,2000
4.7787580490112305,2000
4.779403924942017,2000
9.117248058319092,3000
9.117949962615967,3000
9.118342876434326,3000
9.11870813369751,3000
9.11912202835083,3000
9.119428873062134,3000
9.119745016098022,3000
9.120141983032227,3000
15.330101013183594,4000
15.330721855163574,4000
15.331321954727173,4000
15.331870079040527,4000
23.016239881515503,5000
33.37542986869812,6000
33.37605595588684,6000
33.37645387649536,6000
33.376790046691895,6000
33.377126932144165,6000
33.37745809555054,6000
33.37777900695801,6000
33.37839388847351,6000
33.37903094291687,6000
33.37962985038757,6000
33.379956007003784,6000
33.3802330493927,6000
33.38054585456848,6000
33.38081693649292,6000
33.40353298187256,6000
33.40415287017822,6000
33.404531955718994,6000
33.40489101409912,6000
33.40524196624756,6000
33.40558075904846,6000
33.40592694282532,6000
33.40624690055847,6000
33.40656280517578,6000
33.40687298774719,6000
33.40720081329346,6000
33.407516956329346,6000
33.40784001350403,6000
33.40816593170166,6000
33.40848398208618,6000
33.4088180065155,6000
33.409485816955566,6000
33.41013693809509,6000
33.410467863082886,6000
33.41080689430237,6000
33.41112494468689,6000
33.41149711608887,6000
33.411837100982666,6000
33.41215705871582,6000
33.41247892379761,6000
33.41278910636902,6000
33.41310095787048,6000
33.41341972351074,6000
33.41375017166138,6000
33.41409111022949,6000
33.414413928985596,6000
33.41473698616028,6000
33.41505789756775,6000
33.41537284851074,6000
33.415695905685425,6000
33.416029930114746,6000
33.41635274887085,6000
33.41667103767395,6000
33.41699194908142,6000
33.41732478141785,6000
33.41802716255188,6000
33.41879892349243,6000
33.419156074523926,6000
43.60684394836426,7000
43.60753297805786,7000
43.6079261302948,7000
43.60828995704651,7000
43.608646869659424,7000
43.60899496078491,7000
43.60934400558472,7000
43.609678983688354,7000
43.610085010528564,7000
43.610475063323975,7000
43.61081099510193,7000
43.611151933670044,7000
43.611488819122314,7000
43.61182188987732,7000
43.61216998100281,7000
43.61250901222229,7000
43.61284589767456,7000
43.613182067871094,7000
43.61352300643921,7000
43.613866090774536,7000
43.614206075668335,7000
43.614546060562134,7000
43.61488175392151,7000
43.61521792411804,7000
43.61557579040527,7000
43.6159188747406,7000
43.61631178855896,7000
43.61667490005493,7000
43.61701989173889,7000
43.617372035980225,7000
43.61809182167053,7000
43.618454933166504,7000
55.20835995674133,8000
55.209112882614136,8000
55.20954513549805,8000
55.20995092391968,8000
55.21034598350525,8000
55.21111583709717,8000
55.211875915527344,8000
55.21234703063965,8000
